Evidence,Property,Source,Genome ID,Genome Name,BRC ID,RefSeq Locus Tag,Alt Locus Tag,Source ID,Source Organism,Gene,Product,Function,Classification,Antibiotics Class,Antibiotics,PubMed,Subject Coverage,Query Coverage,Identity,E-value
"K-mer Search","Antibiotic Resistance","PATRIC","562.98047","Escherichia coli 4ab40810-7bb9-11e9-a8d3-68b59976a384","fig|562.98047.peg.248",,,,,"gyrA","DNA gyrase subunit A (EC 5.99.1.3)","DNA gyrase subunit A (EC 5.99.1.3)","antibiotic target in susceptible species","Fluoroquinolones Quinolones Quinolines","clofazimine;ciprofloxacin;gatifloxacin;levofloxacin;moxifloxacin;nalidixic acid;ofloxacin;sparfloxacin;trovafloxacin","9293187",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","562.99920","Escherichia coli 585745f4-7bb9-11e9-a8d3-68b59976a384","fig|562.99920.peg.190",,,,,"gyrA","DNA gyrase subunit A (EC 5.99.1.3)","DNA gyrase subunit A (EC 5.99.1.3)","antibiotic target in susceptible species","Fluoroquinolones Quinolones Quinolines","clofazimine;ciprofloxacin;gatifloxacin;levofloxacin;moxifloxacin;nalidixic acid;ofloxacin;sparfloxacin;trovafloxacin","9293187",,,,
"BLAT","Antibiotic Resistance","CARD","562.57465","Escherichia coli strain PB412","fig|562.57465.peg.3977",,,"AAC75291.1","Escherichia coli str. K-12 substr. MG1655","gyrA","DNA gyrase subunit A (EC 5.99.1.3)",,"antibiotic resistant gene variant or mutant,fluoroquinolone resistance gene",,,,100,100,99,"0.0"
"AMRFinderPlus: POINTP","Antibiotic Resistance","NDARO","562.97465","Escherichia coli VREC1594","fig|562.97465.peg.1544","AML36_16585",,"WP_001281243.1",,,"DNA gyrase subunit A (EC 5.99.1.3)","Escherichia quinolone resistant GyrA",,"quinolone","quinolone",,99,100,98,
"AMRFinderPlus: POINTP","Antibiotic Resistance","NDARO","562.96685","Escherichia coli VREC0909","fig|562.96685.peg.1779",,,"WP_001281243.1",,,"DNA gyrase subunit A (EC 5.99.1.3)","Escherichia quinolone resistant GyrA",,"quinolone","quinolone",,99,100,98,
"AMRFinderPlus: POINTP","Antibiotic Resistance","NDARO","562.97931","Escherichia coli 55b9303c-7bb9-11e9-a8d3-68b59976a384","fig|562.97931.peg.2775","AMK79_22345",,"WP_001281243.1",,,"DNA gyrase subunit A (EC 5.99.1.3)","Escherichia quinolone resistant GyrA",,"quinolone","quinolone",,99,100,98,
"K-mer Search","Antibiotic Resistance","PATRIC","562.96523","Escherichia coli VREC0714","fig|562.96523.peg.2432",,,,,"gyrA","DNA gyrase subunit A (EC 5.99.1.3)","DNA gyrase subunit A (EC 5.99.1.3)","antibiotic target in susceptible species","Fluoroquinolones Quinolones Quinolines","clofazimine;ciprofloxacin;gatifloxacin;levofloxacin;moxifloxacin;nalidixic acid;ofloxacin;sparfloxacin;trovafloxacin","9293187",,,,
"RGI: protein variant model","Antibiotic Resistance","CARD","562.99981","Escherichia coli c4ef77b8-7bb9-11e9-a8d3-68b59976a384","fig|562.99981.peg.189",,,"1545",,,"DNA gyrase subunit A (EC 5.99.1.3)","Escherichia coli gyrA conferring resistance to fluoroquinolones","antibiotic target alteration","fluoroquinolone","enoxacin;ciprofloxacin;levofloxacin;moxifloxacin;gatifloxacin;lomefloxacin;nalidixic acid;norfloxacin;ofloxacin;trovafloxacin;grepafloxacin;sparfloxacin;pefloxacin",,,,,
"AMRFinderPlus: POINTP","Antibiotic Resistance","NDARO","562.45404","Escherichia coli strain BR43-DEC","fig|562.45404.peg.1993","ETE54_09700",,"WP_001281243.1",,"gyrA","DNA gyrase subunit A (EC 5.99.1.3)","Escherichia quinolone resistant GyrA",,"quinolone","quinolone",,99,100,98,
"RGI: protein variant model","Antibiotic Resistance","CARD","562.97301","Escherichia coli VREC1432","fig|562.97301.peg.1216",,,"1545",,,"DNA gyrase subunit A (EC 5.99.1.3)","Escherichia coli gyrA conferring resistance to fluoroquinolones","antibiotic target alteration","fluoroquinolone","enoxacin;ciprofloxacin;levofloxacin;moxifloxacin;gatifloxacin;lomefloxacin;nalidixic acid;norfloxacin;ofloxacin;trovafloxacin;grepafloxacin;sparfloxacin;pefloxacin",,100,100,99,"0"
"AMRFinderPlus: POINTP","Antibiotic Resistance","NDARO","562.99254","Escherichia coli c7e7a61c-7bb8-11e9-a8d3-68b59976a384","fig|562.99254.peg.4471",,,"WP_001281243.1",,,"DNA gyrase subunit A (EC 5.99.1.3)","Escherichia quinolone resistant GyrA",,"quinolone","quinolone",,99,100,98,
"K-mer Search","Antibiotic Resistance","PATRIC","562.97203","Escherichia coli VREC1350","fig|562.97203.peg.157",,,,,"gyrA","DNA gyrase subunit A (EC 5.99.1.3)","DNA gyrase subunit A (EC 5.99.1.3)","antibiotic target in susceptible species","Fluoroquinolones Quinolones Quinolines","clofazimine;ciprofloxacin;gatifloxacin;levofloxacin;moxifloxacin;nalidixic acid;ofloxacin;sparfloxacin;trovafloxacin","9293187",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","562.96762","Escherichia coli VRES0953","fig|562.96762.peg.1715",,,,,"gyrA","DNA gyrase subunit A (EC 5.99.1.3)","DNA gyrase subunit A (EC 5.99.1.3)","antibiotic target in susceptible species","Fluoroquinolones Quinolones Quinolines","clofazimine;ciprofloxacin;gatifloxacin;levofloxacin;moxifloxacin;nalidixic acid;ofloxacin;sparfloxacin;trovafloxacin","9293187",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","562.98869","Escherichia coli b9ac2910-7bb8-11e9-a8d3-68b59976a384","fig|562.98869.peg.1323",,,,,"gyrA","DNA gyrase subunit A (EC 5.99.1.3)","DNA gyrase subunit A (EC 5.99.1.3)","antibiotic target in susceptible species","Fluoroquinolones Quinolones Quinolines","clofazimine;ciprofloxacin;gatifloxacin;levofloxacin;moxifloxacin;nalidixic acid;ofloxacin;sparfloxacin;trovafloxacin","9293187",,,,
"BLAT","Antibiotic Resistance","CARD","562.98845","Escherichia coli 7df87590-7bb8-11e9-a8d3-68b59976a384","fig|562.98845.peg.152",,,"AAC75291.1","Escherichia coli str. K-12 substr. MG1655","gyrA","DNA gyrase subunit A (EC 5.99.1.3)",,"antibiotic resistant gene variant or mutant,fluoroquinolone resistance gene",,,,100,100,99,"0.0"
"AMRFinderPlus: POINTP","Antibiotic Resistance","NDARO","562.22984","Escherichia coli O21:H5 strain ECO0607","fig|562.22984.peg.1567",,,"WP_001281243.1",,,"DNA gyrase subunit A (EC 5.99.1.3)","Escherichia quinolone resistant GyrA",,"quinolone","quinolone",,99,100,98,
"AMRFinderPlus: POINTP","Antibiotic Resistance","NDARO","562.58705","Escherichia coli strain 14040376","fig|562.58705.peg.1540",,,"WP_001281243.1",,,"DNA gyrase subunit A (EC 5.99.1.3)","Escherichia quinolone resistant GyrA",,"quinolone","quinolone",,99,100,98,
"K-mer Search","Antibiotic Resistance","PATRIC","562.42689","Escherichia coli strain 243","fig|562.42689.peg.4403",,,,,"gyrA","DNA gyrase subunit A (EC 5.99.1.3)","DNA gyrase subunit A (EC 5.99.1.3)","antibiotic target in susceptible species","Fluoroquinolones Quinolones Quinolines","clofazimine;ciprofloxacin;gatifloxacin;levofloxacin;moxifloxacin;nalidixic acid;ofloxacin;sparfloxacin;trovafloxacin","9293187",,,,
"RGI: protein variant model","Antibiotic Resistance","CARD","562.23205","Escherichia coli O1:H15 strain ECO0828","fig|562.23205.peg.869",,,"1545",,,"DNA gyrase subunit A (EC 5.99.1.3)","Escherichia coli gyrA conferring resistance to fluoroquinolones","antibiotic target alteration","fluoroquinolone","enoxacin;ciprofloxacin;levofloxacin;moxifloxacin;gatifloxacin;lomefloxacin;nalidixic acid;norfloxacin;ofloxacin;trovafloxacin;grepafloxacin;sparfloxacin;pefloxacin",,100,100,99,"0"
"K-mer Search","Antibiotic Resistance","PATRIC","562.98767","Escherichia coli 30cc3b02-7bb9-11e9-a8d3-68b59976a384","fig|562.98767.peg.2896",,,,,"gyrA","DNA gyrase subunit A (EC 5.99.1.3)","DNA gyrase subunit A (EC 5.99.1.3)","antibiotic target in susceptible species","Fluoroquinolones Quinolones Quinolines","clofazimine;ciprofloxacin;gatifloxacin;levofloxacin;moxifloxacin;nalidixic acid;ofloxacin;sparfloxacin;trovafloxacin","9293187",,,,
"BLAT","Antibiotic Resistance","CARD","562.99106","Escherichia coli e59b7ecc-7bb8-11e9-a8d3-68b59976a384","fig|562.99106.peg.804",,,"AAC75291.1","Escherichia coli str. K-12 substr. MG1655","gyrA","DNA gyrase subunit A (EC 5.99.1.3)",,"antibiotic resistant gene variant or mutant,fluoroquinolone resistance gene",,,,100,100,99,"0.0"
"K-mer Search","Antibiotic Resistance","PATRIC","562.98301","Escherichia coli c1802786-7bb8-11e9-a8d3-68b59976a384","fig|562.98301.peg.599",,,,,"gyrA","DNA gyrase subunit A (EC 5.99.1.3)","DNA gyrase subunit A (EC 5.99.1.3)","antibiotic target in susceptible species","Fluoroquinolones Quinolones Quinolines","clofazimine;ciprofloxacin;gatifloxacin;levofloxacin;moxifloxacin;nalidixic acid;ofloxacin;sparfloxacin;trovafloxacin","9293187",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","562.100594","Escherichia coli 78c800d0-7bb9-11e9-a8d3-68b59976a384","fig|562.100594.peg.1404",,,,,"gyrA","DNA gyrase subunit A (EC 5.99.1.3)","DNA gyrase subunit A (EC 5.99.1.3)","antibiotic target in susceptible species","Fluoroquinolones Quinolones Quinolines","clofazimine;ciprofloxacin;gatifloxacin;levofloxacin;moxifloxacin;nalidixic acid;ofloxacin;sparfloxacin;trovafloxacin","9293187",,,,
"BLAT","Antibiotic Resistance","CARD","562.98202","Escherichia coli 656054ca-7bb9-11e9-a8d3-68b59976a384","fig|562.98202.peg.1910",,,"AAC75291.1","Escherichia coli str. K-12 substr. MG1655","gyrA","DNA gyrase subunit A (EC 5.99.1.3)",,"antibiotic resistant gene variant or mutant,fluoroquinolone resistance gene",,,,100,100,100,"0.0"
"AMRFinderPlus: POINTP","Antibiotic Resistance","NDARO","562.100263","Escherichia coli 5b65847c-7bb9-11e9-a8d3-68b59976a384","fig|562.100263.peg.259",,,"WP_001281243.1",,,"DNA gyrase subunit A (EC 5.99.1.3)","Escherichia quinolone resistant GyrA",,"quinolone","quinolone",,99,100,98,
"K-mer Search","Antibiotic Resistance","PATRIC","562.96774","Escherichia coli VREC0920","fig|562.96774.peg.2669",,,,,"gyrA","DNA gyrase subunit A (EC 5.99.1.3)","DNA gyrase subunit A (EC 5.99.1.3)","antibiotic target in susceptible species","Fluoroquinolones Quinolones Quinolines","clofazimine;ciprofloxacin;gatifloxacin;levofloxacin;moxifloxacin;nalidixic acid;ofloxacin;sparfloxacin;trovafloxacin","9293187",,,,
"BLAT","Antibiotic Resistance","CARD","562.100876","Escherichia coli ce24d4ae-7bb9-11e9-a8d3-68b59976a384","fig|562.100876.peg.1947",,,"AAC75291.1","Escherichia coli str. K-12 substr. MG1655","gyrA","DNA gyrase subunit A (EC 5.99.1.3)",,"antibiotic resistant gene variant or mutant,fluoroquinolone resistance gene",,,,99,99,99,"0.0"
"BLAT","Antibiotic Resistance","CARD","562.98506","Escherichia coli b7b1af7c-7bb8-11e9-a8d3-68b59976a384","fig|562.98506.peg.2285",,,"AAC75291.1","Escherichia coli str. K-12 substr. MG1655","gyrA","DNA gyrase subunit A (EC 5.99.1.3)",,"antibiotic resistant gene variant or mutant,fluoroquinolone resistance gene",,,,100,100,100,"0.0"
"RGI: protein variant model","Antibiotic Resistance","CARD","562.97291","Escherichia coli VREC1429","fig|562.97291.peg.1037",,,"1545",,,"DNA gyrase subunit A (EC 5.99.1.3)","Escherichia coli gyrA conferring resistance to fluoroquinolones","antibiotic target alteration","fluoroquinolone","enoxacin;ciprofloxacin;levofloxacin;moxifloxacin;gatifloxacin;lomefloxacin;nalidixic acid;norfloxacin;ofloxacin;trovafloxacin;grepafloxacin;sparfloxacin;pefloxacin",,100,100,99,"0"
"K-mer Search","Antibiotic Resistance","PATRIC","562.98784","Escherichia coli beb30950-7bb9-11e9-a8d3-68b59976a384","fig|562.98784.peg.608",,,,,"gyrA","DNA gyrase subunit A (EC 5.99.1.3)","DNA gyrase subunit A (EC 5.99.1.3)","antibiotic target in susceptible species","Fluoroquinolones Quinolones Quinolines","clofazimine;ciprofloxacin;gatifloxacin;levofloxacin;moxifloxacin;nalidixic acid;ofloxacin;sparfloxacin;trovafloxacin","9293187",,,,
"BLAT","Antibiotic Resistance","CARD","562.96478","Escherichia coli VREC0669","fig|562.96478.peg.1788",,,"AAC75291.1","Escherichia coli str. K-12 substr. MG1655","gyrA","DNA gyrase subunit A (EC 5.99.1.3)",,"antibiotic resistant gene variant or mutant,fluoroquinolone resistance gene",,,,100,100,99,"0.0"
"K-mer Search","Antibiotic Resistance","PATRIC","562.97128","Escherichia coli VREC1257","fig|562.97128.peg.2485",,,,,"gyrA","DNA gyrase subunit A (EC 5.99.1.3)","DNA gyrase subunit A (EC 5.99.1.3)","antibiotic target in susceptible species","Fluoroquinolones Quinolones Quinolines","clofazimine;ciprofloxacin;gatifloxacin;levofloxacin;moxifloxacin;nalidixic acid;ofloxacin;sparfloxacin;trovafloxacin","9293187",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","562.97306","Escherichia coli VRES1506","fig|562.97306.peg.1041",,,,,"gyrA","DNA gyrase subunit A (EC 5.99.1.3)","DNA gyrase subunit A (EC 5.99.1.3)","antibiotic target in susceptible species","Fluoroquinolones Quinolones Quinolines","clofazimine;ciprofloxacin;gatifloxacin;levofloxacin;moxifloxacin;nalidixic acid;ofloxacin;sparfloxacin;trovafloxacin","9293187",,,,
"BLAT","Antibiotic Resistance","CARD","562.99006","Escherichia coli 5c47b734-7bb9-11e9-a8d3-68b59976a384","fig|562.99006.peg.223",,,"AAC75291.1","Escherichia coli str. K-12 substr. MG1655","gyrA","DNA gyrase subunit A (EC 5.99.1.3)",,"antibiotic resistant gene variant or mutant,fluoroquinolone resistance gene",,,,100,100,99,"0.0"
"AMRFinderPlus: POINTP","Antibiotic Resistance","NDARO","562.42864","Escherichia coli strain MUGSI_313","fig|562.42864.peg.1681",,,"WP_001281243.1",,,"DNA gyrase subunit A (EC 5.99.1.3)","Escherichia quinolone resistant GyrA",,"quinolone","quinolone",,99,100,98,
"RGI: protein variant model","Antibiotic Resistance","CARD","562.96678","Escherichia coli VREC0862","fig|562.96678.peg.235",,,"1545",,,"DNA gyrase subunit A (EC 5.99.1.3)","Escherichia coli gyrA conferring resistance to fluoroquinolones","antibiotic target alteration","fluoroquinolone","enoxacin;ciprofloxacin;levofloxacin;moxifloxacin;gatifloxacin;lomefloxacin;nalidixic acid;norfloxacin;ofloxacin;trovafloxacin;grepafloxacin;sparfloxacin;pefloxacin",,100,100,99,"0"
"AMRFinderPlus: POINTP","Antibiotic Resistance","NDARO","562.23558","Escherichia coli O25:H4 strain ECO1244","fig|562.23558.peg.458",,,"WP_001281243.1",,,"DNA gyrase subunit A (EC 5.99.1.3)","Escherichia quinolone resistant GyrA",,"quinolone","quinolone",,99,100,98,
"RGI: protein variant model","Antibiotic Resistance","CARD","562.100073","Escherichia coli 25ad3ece-7bb9-11e9-a8d3-68b59976a384","fig|562.100073.peg.344","A4X18_20495",,"1545",,,"DNA gyrase subunit A (EC 5.99.1.3)","Escherichia coli gyrA conferring resistance to fluoroquinolones","antibiotic target alteration","fluoroquinolone","enoxacin;ciprofloxacin;levofloxacin;moxifloxacin;gatifloxacin;lomefloxacin;nalidixic acid;norfloxacin;ofloxacin;trovafloxacin;grepafloxacin;sparfloxacin;pefloxacin",,100,100,99,"0"
"K-mer Search","Antibiotic Resistance","PATRIC","562.100141","Escherichia coli eff34670-7bb8-11e9-a8d3-68b59976a384","fig|562.100141.peg.119",,,,,"gyrA","DNA gyrase subunit A (EC 5.99.1.3)","DNA gyrase subunit A (EC 5.99.1.3)","antibiotic target in susceptible species","Fluoroquinolones Quinolones Quinolines","clofazimine;ciprofloxacin;gatifloxacin;levofloxacin;moxifloxacin;nalidixic acid;ofloxacin;sparfloxacin;trovafloxacin","9293187",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","562.98306","Escherichia coli 501db102-7bb9-11e9-a8d3-68b59976a384","fig|562.98306.peg.830",,,,,"gyrA","DNA gyrase subunit A (EC 5.99.1.3)","DNA gyrase subunit A (EC 5.99.1.3)","antibiotic target in susceptible species","Fluoroquinolones Quinolones Quinolines","clofazimine;ciprofloxacin;gatifloxacin;levofloxacin;moxifloxacin;nalidixic acid;ofloxacin;sparfloxacin;trovafloxacin","9293187",,,,
"RGI: protein variant model","Antibiotic Resistance","CARD","562.99169","Escherichia coli d60592e4-7bb9-11e9-a8d3-68b59976a384","fig|562.99169.peg.327",,,"1545",,,"DNA gyrase subunit A (EC 5.99.1.3)","Escherichia coli gyrA conferring resistance to fluoroquinolones","antibiotic target alteration","fluoroquinolone","enoxacin;ciprofloxacin;levofloxacin;moxifloxacin;gatifloxacin;lomefloxacin;nalidixic acid;norfloxacin;ofloxacin;trovafloxacin;grepafloxacin;sparfloxacin;pefloxacin",,,,,
"AMRFinderPlus: POINTP","Antibiotic Resistance","NDARO","562.23619","Escherichia coli O4:H1 strain ECO1334","fig|562.23619.peg.682",,,"WP_001281243.1",,,"DNA gyrase subunit A (EC 5.99.1.3)","Escherichia quinolone resistant GyrA",,"quinolone","quinolone",,99,100,98,
"K-mer Search","Antibiotic Resistance","PATRIC","562.140878","Escherichia coli 013-E2-S06","fig|562.140878.peg.1606",,,,,"gyrA","DNA gyrase subunit A (EC 5.99.1.3)","DNA gyrase subunit A (EC 5.99.1.3)","antibiotic target in susceptible species","Fluoroquinolones Quinolones Quinolines","clofazimine;ciprofloxacin;gatifloxacin;levofloxacin;moxifloxacin;nalidixic acid;ofloxacin;sparfloxacin;trovafloxacin","9293187",,,,
"BLAT","Antibiotic Resistance","CARD","562.144954","Escherichia coli PT_EC0008","fig|562.144954.peg.9",,,"AAC75291.1","Escherichia coli str. K-12 substr. MG1655","gyrA","DNA gyrase subunit A (EC 5.99.1.3)",,"antibiotic resistant gene variant or mutant,fluoroquinolone resistance gene",,,,100,100,100,"0.0"
"AMRFinderPlus: POINTP","Antibiotic Resistance","NDARO","562.97227","Escherichia coli VREC1384","fig|562.97227.peg.186",,,"WP_001281243.1",,,"DNA gyrase subunit A (EC 5.99.1.3)","Escherichia quinolone resistant GyrA",,"quinolone","quinolone",,99,100,98,
"K-mer Search","Antibiotic Resistance","PATRIC","562.97823","Escherichia coli 4671ca4e-7bb9-11e9-a8d3-68b59976a384","fig|562.97823.peg.1251",,,,,"gyrA","DNA gyrase subunit A (EC 5.99.1.3)","DNA gyrase subunit A (EC 5.99.1.3)","antibiotic target in susceptible species","Fluoroquinolones Quinolones Quinolines","clofazimine;ciprofloxacin;gatifloxacin;levofloxacin;moxifloxacin;nalidixic acid;ofloxacin;sparfloxacin;trovafloxacin","9293187",,,,
"BLAT","Antibiotic Resistance","CARD","562.98027","Escherichia coli e446861a-7bb9-11e9-a8d3-68b59976a384","fig|562.98027.peg.1834",,,"AAC75291.1","Escherichia coli str. K-12 substr. MG1655","gyrA","DNA gyrase subunit A (EC 5.99.1.3)",,"antibiotic resistant gene variant or mutant,fluoroquinolone resistance gene",,,,100,100,99,"0.0"
"BLAT","Antibiotic Resistance","CARD","562.99335","Escherichia coli e2f1c7e4-7bb8-11e9-a8d3-68b59976a384","fig|562.99335.peg.260",,,"AAC75291.1","Escherichia coli str. K-12 substr. MG1655","gyrA","DNA gyrase subunit A (EC 5.99.1.3)",,"antibiotic resistant gene variant or mutant,fluoroquinolone resistance gene",,,,100,100,99,"0.0"
"RGI: protein variant model","Antibiotic Resistance","CARD","562.135575","Escherichia coli MGL_118","fig|562.135575.peg.121","BFL24_27670",,"1545",,,"DNA gyrase subunit A (EC 5.99.1.3)","Escherichia coli gyrA conferring resistance to fluoroquinolones","antibiotic target alteration","fluoroquinolone","enoxacin;ciprofloxacin;levofloxacin;moxifloxacin;gatifloxacin;lomefloxacin;nalidixic acid;norfloxacin;ofloxacin;trovafloxacin;grepafloxacin;sparfloxacin;pefloxacin",,100,100,99,"0"
"AMRFinderPlus: POINTP","Antibiotic Resistance","NDARO","562.99894","Escherichia coli b3f756d8-7bb9-11e9-a8d3-68b59976a384","fig|562.99894.peg.1619",,,"WP_001281243.1",,,"DNA gyrase subunit A (EC 5.99.1.3)","Escherichia quinolone resistant GyrA",,"quinolone","quinolone",,99,100,98,
"BLAT","Antibiotic Resistance","CARD","562.99790","Escherichia coli cca2012a-7bb8-11e9-a8d3-68b59976a384","fig|562.99790.peg.1113",,,"AAC75291.1","Escherichia coli str. K-12 substr. MG1655","gyrA","DNA gyrase subunit A (EC 5.99.1.3)",,"antibiotic resistant gene variant or mutant,fluoroquinolone resistance gene",,,,100,100,99,"0.0"
"AMRFinderPlus: POINTP","Antibiotic Resistance","NDARO","562.22672","Escherichia coli O17:H18 strain ECO0260","fig|562.22672.peg.1850",,,"WP_001281243.1",,,"DNA gyrase subunit A (EC 5.99.1.3)","Escherichia quinolone resistant GyrA",,"quinolone","quinolone",,99,100,98,
"BLAT","Antibiotic Resistance","CARD","562.100084","Escherichia coli 3caf3b36-7bb9-11e9-a8d3-68b59976a384","fig|562.100084.peg.326",,,"AAC75291.1","Escherichia coli str. K-12 substr. MG1655","gyrA","DNA gyrase subunit A (EC 5.99.1.3)",,"antibiotic resistant gene variant or mutant,fluoroquinolone resistance gene",,,,100,100,99,"0.0"
"RGI: protein variant model","Antibiotic Resistance","CARD","562.97265","Escherichia coli VRES1488","fig|562.97265.peg.193",,,"1545",,,"DNA gyrase subunit A (EC 5.99.1.3)","Escherichia coli gyrA conferring resistance to fluoroquinolones","antibiotic target alteration","fluoroquinolone","enoxacin;ciprofloxacin;levofloxacin;moxifloxacin;gatifloxacin;lomefloxacin;nalidixic acid;norfloxacin;ofloxacin;trovafloxacin;grepafloxacin;sparfloxacin;pefloxacin",,,,,
"RGI: protein variant model","Antibiotic Resistance","CARD","562.100419","Escherichia coli ebded20c-7bb8-11e9-a8d3-68b59976a384","fig|562.100419.peg.832","AWG58_24710",,"1545",,,"DNA gyrase subunit A (EC 5.99.1.3)","Escherichia coli gyrA conferring resistance to fluoroquinolones","antibiotic target alteration","fluoroquinolone","enoxacin;ciprofloxacin;levofloxacin;moxifloxacin;gatifloxacin;lomefloxacin;nalidixic acid;norfloxacin;ofloxacin;trovafloxacin;grepafloxacin;sparfloxacin;pefloxacin",,100,100,99,"0"
